generation,individual,accuracy,num_layers,best_accuracy,best_num_layers
0,0,78,8,92,5
0,1,11,5,92,5
0,2,11,3,92,5
0,3,10,5,92,5
0,4,10,6,92,5
0,5,87,5,92,5
0,6,80,3,92,5
0,7,9,9,92,5
0,8,83,4,92,5
0,9,87,7,92,5
0,10,93,4,92,5
0,11,84,6,92,5
0,12,60,5,92,5
0,13,85,3,92,5
0,14,82,7,92,5
0,15,9,10,92,5
0,16,8,4,92,5
0,17,9,3,92,5
0,18,82,6,92,5
0,19,11,5,92,5
0,20,87,3,92,5
0,21,11,9,92,5
0,22,11,7,92,5
0,23,86,4,92,5
0,24,90,9,92,5
0,25,11,7,92,5
0,26,10,6,92,5
0,27,82,11,92,5
0,28,10,4,92,5
0,29,35,3,92,5
0,30,83,6,92,5
0,31,36,7,92,5
0,32,17,9,92,5
0,33,78,10,92,5
0,34,89,9,92,5
0,35,83,5,92,5
0,36,82,9,92,5
0,37,18,9,92,5
0,38,10,9,92,5
0,39,77,11,92,5
0,40,10,8,92,5
0,41,11,10,92,5
0,42,85,10,92,5
0,43,33,10,92,5
0,44,78,9,92,5
0,45,10,6,92,5
0,46,91,6,92,5
0,47,11,9,92,5
0,48,89,5,92,5
0,49,11,3,92,5
1,0,91,5,95,6
1,1,90,8,95,6
1,2,83,5,95,6
1,3,87,6,95,6
1,4,11,6,95,6
1,5,89,4,95,6
1,6,89,6,95,6
1,7,88,6,95,6
1,8,86,5,95,6
1,9,10,4,95,6
1,10,49,3,95,6
1,11,90,6,95,6
1,12,90,6,95,6
1,13,87,4,95,6
1,14,84,3,95,6
1,15,88,3,95,6
1,16,9,4,95,6
1,17,34,4,95,6
1,18,82,6,95,6
1,19,9,4,95,6
1,20,85,5,95,6
1,21,75,3,95,6
1,22,14,5,95,6
1,23,14,7,95,6
1,24,78,3,95,6
1,25,53,3,95,6
1,26,82,3,95,6
1,27,69,3,95,6
1,28,89,8,95,6
1,29,81,3,95,6
1,30,11,4,95,6
1,31,87,4,95,6
1,32,83,3,95,6
1,33,60,5,95,6
1,34,88,7,95,6
1,35,70,6,95,6
1,36,85,5,95,6
1,37,87,9,95,6
1,38,10,7,95,6
1,39,87,5,95,6
1,40,65,6,95,6
1,41,9,8,95,6
1,42,90,4,95,6
1,43,88,8,95,6
1,44,83,3,95,6
1,45,92,3,95,6
1,46,11,3,95,6
1,47,80,3,95,6
1,48,83,4,95,6
1,49,84,4,95,6
2,0,92,6,95,6
2,1,95,6,95,6
2,2,21,5,95,6
2,3,71,5,95,6
2,4,87,6,95,6
2,5,93,5,95,6
2,6,88,5,95,6
2,7,93,5,95,6
2,8,93,6,95,6
2,9,90,3,95,6
2,10,83,5,95,6
2,11,88,6,95,6
2,12,87,4,95,6
2,13,82,5,95,6
2,14,86,3,95,6
2,15,54,6,95,6
2,16,87,3,95,6
2,17,83,5,95,6
2,18,76,4,95,6
2,19,80,8,95,6
2,20,84,4,95,6
2,21,86,5,95,6
2,22,82,4,95,6
2,23,81,5,95,6
2,24,80,6,95,6
2,25,82,4,95,6
2,26,68,6,95,6
2,27,83,4,95,6
2,28,79,7,95,6
2,29,87,3,95,6
2,30,79,3,95,6
2,31,87,4,95,6
2,32,90,4,95,6
2,33,95,6,95,6
2,34,85,3,95,6
2,35,84,6,95,6
2,36,87,4,95,6
2,37,91,7,95,6
2,38,80,7,95,6
2,39,87,5,95,6
2,40,90,4,95,6
2,41,64,3,95,6
2,42,86,4,95,6
2,43,93,4,95,6
2,44,92,3,95,6
2,45,89,3,95,6
2,46,58,4,95,6
2,47,80,4,95,6
2,48,75,4,95,6
2,49,88,7,95,6
3,0,95,6,95,5
3,1,88,9,95,5
3,2,53,5,95,5
3,3,86,6,95,5
3,4,11,6,95,5
3,5,93,6,95,5
3,6,93,4,95,5
3,7,92,6,95,5
3,8,88,6,95,5
3,9,93,6,95,5
3,10,89,7,95,5
3,11,82,9,95,5
3,12,94,9,95,5
3,13,76,3,95,5
3,14,84,7,95,5
3,15,85,4,95,5
3,16,71,4,95,5
3,17,88,4,95,5
3,18,89,6,95,5
3,19,82,3,95,5
3,20,87,4,95,5
3,21,90,3,95,5
3,22,70,4,95,5
3,23,88,4,95,5
3,24,85,5,95,5
3,25,90,3,95,5
3,26,60,3,95,5
3,27,89,8,95,5
3,28,50,3,95,5
3,29,10,3,95,5
