generation,individual,accuracy,num_layers,best_accuracy,best_num_layers
0,0,9,6,36,5
0,1,10,4,36,5
0,2,9,6,36,5
0,3,9,14,36,5
0,4,16,10,36,5
0,5,10,8,36,5
0,6,9,9,36,5
0,7,9,9,36,5
0,8,10,14,36,5
0,9,10,12,36,5
0,10,10,11,36,5
0,11,10,10,36,5
0,12,10,11,36,5
0,13,9,11,36,5
0,14,9,10,36,5
0,15,10,13,36,5
0,16,10,7,36,5
0,17,10,13,36,5
0,18,10,13,36,5
0,19,9,8,36,5
0,20,9,15,36,5
0,21,9,10,36,5
0,22,10,16,36,5
0,23,10,11,36,5
0,24,9,12,36,5
0,25,9,9,36,5
0,26,9,12,36,5
0,27,10,13,36,5
0,28,9,9,36,5
0,29,9,6,36,5
0,30,9,8,36,5
0,31,9,10,36,5
0,32,9,9,36,5
0,33,9,10,36,5
0,34,9,9,36,5
0,35,9,8,36,5
0,36,9,10,36,5
0,37,10,17,36,5
0,38,10,14,36,5
0,39,26,18,36,5
0,40,9,14,36,5
0,41,9,16,36,5
0,42,9,11,36,5
0,43,9,10,36,5
0,44,9,5,36,5
0,45,10,8,36,5
0,46,9,11,36,5
0,47,31,8,36,5
0,48,9,8,36,5
0,49,9,11,36,5
1,0,33,5,35,5
1,1,14,6,35,5
1,2,14,6,35,5
1,3,16,5,35,5
1,4,9,10,35,5
1,5,9,6,35,5
1,6,10,5,35,5
1,7,9,5,35,5
1,8,10,7,35,5
1,9,14,7,35,5
1,10,9,5,35,5
1,11,10,6,35,5
1,12,10,7,35,5
1,13,20,9,35,5
1,14,10,11,35,5
1,15,9,7,35,5
1,16,9,12,35,5
1,17,9,11,35,5
1,18,9,8,35,5
1,19,9,6,35,5
1,20,9,10,35,5
1,21,9,9,35,5
1,22,10,9,35,5
1,23,9,9,35,5
1,24,9,7,35,5
1,25,9,7,35,5
1,26,10,10,35,5
1,27,9,10,35,5
1,28,15,9,35,5
1,29,9,18,35,5
1,30,9,10,35,5
1,31,10,7,35,5
1,32,9,9,35,5
1,33,9,6,35,5
1,34,9,7,35,5
1,35,10,11,35,5
1,36,22,12,35,5
1,37,12,12,35,5
1,38,10,10,35,5
1,39,9,5,35,5
1,40,10,5,35,5
1,41,10,9,35,5
1,42,10,13,35,5
1,43,36,12,35,5
1,44,9,13,35,5
1,45,10,11,35,5
1,46,9,15,35,5
1,47,19,9,35,5
1,48,20,14,35,5
1,49,9,11,35,5
2,0,35,5,36,5
2,1,24,6,36,5
