generation,individual,accuracy,num_layers,best_accuracy,best_num_layers
0,0,9,5,27,4
0,1,10,4,27,4
0,2,10,32,27,4
0,3,9,15,27,4
0,4,10,8,27,4
0,5,9,14,27,4
0,6,9,18,27,4
0,7,10,23,27,4
0,8,9,22,27,4
0,9,9,22,27,4
0,10,10,25,27,4
0,11,10,20,27,4
0,12,9,18,27,4
0,13,10,8,27,4
0,14,9,24,27,4
0,15,9,21,27,4
0,16,9,17,27,4
0,17,10,31,27,4
0,18,9,22,27,4
0,19,9,12,27,4
0,20,9,14,27,4
0,21,9,25,27,4
0,22,9,32,27,4
0,23,10,27,27,4
0,24,9,24,27,4
0,25,9,17,27,4
0,26,10,22,27,4
0,27,10,20,27,4
0,28,9,10,27,4
0,29,10,21,27,4
0,30,9,18,27,4
0,31,10,9,27,4
0,32,10,15,27,4
0,33,10,4,27,4
0,34,10,23,27,4
0,35,9,13,27,4
0,36,9,13,27,4
0,37,9,11,27,4
0,38,9,12,27,4
0,39,9,22,27,4
0,40,10,27,27,4
0,41,10,29,27,4
0,42,10,12,27,4
0,43,9,21,27,4
0,44,9,25,27,4
0,45,11,12,27,4
0,46,9,18,27,4
0,47,9,27,27,4
0,48,24,28,27,4
0,49,9,17,27,4
1,0,24,4,25,4
1,1,18,5,25,4
1,2,9,5,25,4
1,3,9,5,25,4
1,4,10,9,25,4
1,5,9,5,25,4
1,6,9,12,25,4
1,7,9,18,25,4
1,8,10,21,25,4
1,9,9,10,25,4
1,10,9,14,25,4
1,11,9,23,25,4
1,12,9,9,25,4
1,13,9,12,25,4
1,14,10,10,25,4
1,15,13,24,25,4
1,16,9,17,25,4
1,17,10,22,25,4
1,18,23,19,25,4
1,19,9,27,25,4
1,20,9,6,25,4
1,21,20,18,25,4
1,22,10,18,25,4
1,23,9,16,25,4
1,24,10,20,25,4
1,25,10,14,25,4
1,26,10,19,25,4
1,27,10,11,25,4
1,28,10,32,25,4
1,29,10,7,25,4
1,30,9,16,25,4
1,31,26,17,25,4
1,32,9,19,25,4
1,33,10,16,25,4
1,34,9,20,25,4
1,35,9,25,25,4
1,36,9,10,25,4
1,37,9,18,25,4
1,38,10,12,25,4
1,39,9,24,25,4
1,40,10,15,25,4
1,41,9,14,25,4
1,42,9,13,25,4
1,43,10,20,25,4
1,44,10,14,25,4
1,45,12,7,25,4
1,46,10,10,25,4
1,47,9,14,25,4
1,48,9,24,25,4
1,49,27,31,25,4
2,0,23,4,27,3
2,1,10,5,27,3
2,2,10,4,27,3
2,3,24,6,27,3
2,4,9,9,27,3
2,5,20,11,27,3
2,6,9,18,27,3
2,7,12,13,27,3
2,8,10,6,27,3
2,9,10,7,27,3
2,10,10,23,27,3
2,11,9,19,27,3
2,12,10,16,27,3
2,13,10,24,27,3
2,14,10,14,27,3
2,15,9,19,27,3
2,16,10,10,27,3
2,17,10,15,27,3
2,18,9,17,27,3
2,19,10,10,27,3
2,20,10,11,27,3
2,21,9,23,27,3
2,22,9,9,27,3
2,23,9,14,27,3
2,24,9,17,27,3
2,25,9,20,27,3
2,26,10,9,27,3
2,27,9,20,27,3
2,28,9,11,27,3
2,29,9,17,27,3
2,30,25,28,27,3
2,31,9,15,27,3
2,32,9,16,27,3
2,33,21,7,27,3
2,34,9,17,27,3
2,35,9,8,27,3
2,36,15,22,27,3
2,37,9,12,27,3
2,38,17,16,27,3
2,39,9,16,27,3
2,40,10,20,27,3
2,41,10,12,27,3
2,42,10,28,27,3
2,43,9,8,27,3
2,44,10,19,27,3
2,45,10,20,27,3
2,46,10,19,27,3
2,47,9,10,27,3
2,48,9,19,27,3
2,49,9,17,27,3
3,0,26,3,35,4
3,1,27,4,35,4
3,2,26,4,35,4
3,3,9,5,35,4
3,4,26,5,35,4
3,5,24,4,35,4
3,6,12,5,35,4
3,7,9,9,35,4
3,8,8,6,35,4
3,9,10,3,35,4
3,10,9,12,35,4
3,11,10,19,35,4
3,12,9,19,35,4
3,13,9,11,35,4
3,14,9,5,35,4
3,15,9,6,35,4
3,16,10,10,35,4
3,17,9,23,35,4
3,18,9,18,35,4
3,19,9,10,35,4
3,20,10,6,35,4
3,21,15,16,35,4
3,22,9,7,35,4
3,23,24,12,35,4
3,24,10,18,35,4
3,25,10,15,35,4
3,26,10,6,35,4
3,27,9,23,35,4
3,28,9,13,35,4
3,29,10,9,35,4
3,30,9,11,35,4
3,31,10,6,35,4
3,32,12,7,35,4
3,33,9,16,35,4
3,34,26,12,35,4
3,35,19,6,35,4
3,36,14,6,35,4
3,37,14,17,35,4
3,38,10,9,35,4
3,39,12,16,35,4
3,40,9,14,35,4
3,41,10,7,35,4
3,42,14,10,35,4
3,43,9,13,35,4
3,44,10,16,35,4
3,45,18,9,35,4
3,46,10,16,35,4
3,47,9,18,35,4
3,48,9,16,35,4
3,49,9,13,35,4
4,0,27,4,35,4
4,1,12,4,35,4
4,2,26,3,35,4
4,3,35,4,35,4
4,4,13,4,35,4
4,5,24,3,35,4
4,6,26,6,35,4
4,7,22,4,35,4
4,8,19,5,35,4
4,9,17,4,35,4
4,10,20,7,35,4
4,11,9,9,35,4
4,12,16,3,35,4
4,13,21,9,35,4
4,14,9,3,35,4
4,15,18,5,35,4
4,16,9,11,35,4
4,17,9,3,35,4
4,18,23,5,35,4
4,19,13,19,35,4
4,20,10,10,35,4
4,21,9,3,35,4
4,22,10,19,35,4
4,23,10,5,35,4
4,24,10,5,35,4
4,25,9,10,35,4
4,26,10,3,35,4
4,27,10,3,35,4
4,28,10,4,35,4
4,29,9,6,35,4
4,30,10,8,35,4
4,31,17,13,35,4
4,32,9,14,35,4
4,33,35,6,35,4
4,34,13,8,35,4
4,35,25,10,35,4
4,36,22,11,35,4
4,37,12,8,35,4
4,38,20,18,35,4
4,39,9,12,35,4
4,40,19,13,35,4
4,41,10,8,35,4
4,42,14,10,35,4
4,43,15,10,35,4
4,44,17,12,35,4
4,45,13,6,35,4
4,46,10,6,35,4
4,47,9,13,35,4
4,48,10,6,35,4
4,49,15,10,35,4
5,0,33,4,35,4
5,1,22,4,35,4
5,2,20,3,35,4
5,3,27,3,35,4
5,4,18,3,35,4
5,5,12,3,35,4
5,6,27,3,35,4
5,7,22,3,35,4
5,8,17,3,35,4
5,9,9,3,35,4
5,10,35,4,35,4
5,11,20,3,35,4
5,12,11,3,35,4
5,13,21,4,35,4
5,14,20,3,35,4
5,15,16,6,35,4
5,16,21,5,35,4
5,17,25,5,35,4
5,18,18,5,35,4
5,19,16,3,35,4
5,20,25,9,35,4
5,21,24,3,35,4
5,22,18,9,35,4
5,23,10,5,35,4
5,24,25,3,35,4
5,25,21,5,35,4
5,26,10,4,35,4
5,27,27,3,35,4
5,28,19,3,35,4
5,29,9,3,35,4
5,30,20,3,35,4
5,31,25,5,35,4
5,32,19,3,35,4
5,33,27,10,35,4
5,34,25,6,35,4
5,35,13,3,35,4
5,36,23,5,35,4
5,37,25,6,35,4
5,38,10,5,35,4
5,39,24,5,35,4
5,40,9,9,35,4
5,41,12,12,35,4
5,42,9,12,35,4
5,43,18,10,35,4
5,44,10,10,35,4
5,45,17,5,35,4
5,46,15,3,35,4
5,47,17,4,35,4
5,48,18,4,35,4
5,49,14,3,35,4
6,0,35,4,36,4
6,1,16,3,36,4
6,2,9,3,36,4
6,3,25,3,36,4
6,4,24,3,36,4
6,5,27,4,36,4
6,6,27,3,36,4
6,7,9,3,36,4
6,8,24,3,36,4
6,9,16,3,36,4
6,10,10,8,36,4
6,11,25,3,36,4
6,12,19,3,36,4
6,13,27,3,36,4
6,14,27,3,36,4
6,15,25,3,36,4
6,16,16,3,36,4
6,17,19,3,36,4
6,18,13,3,36,4
6,19,22,3,36,4
6,20,10,3,36,4
6,21,26,5,36,4
6,22,17,3,36,4
6,23,18,4,36,4
6,24,18,4,36,4
6,25,27,3,36,4
6,26,14,5,36,4
6,27,20,5,36,4
6,28,14,3,36,4
6,29,10,6,36,4
6,30,13,9,36,4
